feature_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,pvalue
exponential_glrlm_LongRunEmphasis,13.6973¡À6.8052,16.4860¡À8.2502,13.8723¡À4.4746,10.4361¡À3.6661,11.4007¡À3.0048,13.0452¡À5.4387,10.6228¡À5.3046,0.0001382
exponential_glrlm_LongRunLowGrayLevelEmphasis,13.6526¡À6.8082,16.4412¡À8.2556,13.8072¡À4.4863,10.4257¡À3.6629,11.3649¡À3.0180,12.9940¡À5.4373,10.5804¡À5.3096,0.000141405
exponential_glrlm_ShortRunLowGrayLevelEmphasis,0.3730¡À0.1019,0.3372¡À0.0986,0.3631¡À0.0786,0.4083¡À0.0794,0.3724¡À0.0397,0.3924¡À0.0916,0.4242¡À0.1199,0.000168092
lbp_3D_k_glrlm_LongRunEmphasis,3.3960¡À0.7117,3.6732¡À0.8052,3.4615¡À0.5807,2.9002¡À0.4075,3.2970¡À0.3360,3.3030¡À0.4925,3.0854¡À0.6359,0.000246835
lbp_3D_k_glrlm_ShortRunEmphasis,0.7097¡À0.0447,0.6929¡À0.0463,0.7089¡À0.0352,0.7338¡À0.0291,0.7055¡À0.0148,0.7152¡À0.0348,0.7315¡À0.0487,0.000256755
square_glcm_InverseVariance,0.2298¡À0.0711,0.2578¡À0.0752,0.2105¡À0.0532,0.2409¡À0.0724,0.2410¡À0.0735,0.2018¡À0.0223,0.1965¡À0.0660,0.000312949
lbp_3D_k_glrlm_LongRunHighGrayLevelEmphasis,7.3034¡À1.9754,8.0197¡À2.5407,7.3699¡À1.2689,6.7174¡À1.0985,6.8718¡À0.4297,6.9084¡À0.9767,6.4483¡À1.5019,0.000369025
log_sigma_3_0_mm_3D_firstorder_Median,264.3084¡À92.9926,239.7070¡À84.6280,258.4193¡À78.7164,231.1827¡À72.1832,244.4740¡À71.2507,308.6455¡À97.4843,312.5753¡À106.6954,0.000383427
exponential_glrlm_ShortRunEmphasis,0.4102¡À0.1056,0.3760¡À0.1038,0.4118¡À0.0884,0.4173¡À0.0712,0.4038¡À0.0620,0.4348¡À0.0939,0.4601¡À0.1237,0.00062617
wavelet_LLL_firstorder_Skewness,1.4071¡À0.5439,1.5984¡À0.5052,1.3204¡À0.5669,1.4677¡À0.4795,1.4743¡À0.8431,1.1555¡À0.2880,1.1746¡À0.4794,0.000649961
